Date, Open, High, Low, Close
04/08/21, 92.42, 92.48, 92.00, 92.06
04/07/21, 92.32, 92.50, 92.14, 92.45
04/06/21, 92.57, 92.79, 92.27, 92.33
04/05/21, 93.01, 93.11, 92.54, 92.59
04/02/21, 92.89, 93.07, 92.83, 93.01
04/01/21, 93.22, 93.34, 92.88, 92.93
03/31/21, 93.24, 93.44, 92.99, 93.23
03/30/21, 92.91, 93.35, 92.88, 93.30
03/29/21, 92.74, 92.96, 92.72, 92.94
03/26/21, 92.81, 92.87, 92.64, 92.77
03/25/21, 92.60, 92.92, 92.51, 92.53
03/24/21, 92.39, 92.61, 92.34, 92.53
03/23/21, 91.80, 92.39, 91.76, 92.34
03/22/21, 91.74, 92.15, 91.71, 91.74
03/19/21, 91.83, 92.17, 91.66, 91.92
03/18/21, 91.40, 91.90, 91.30, 91.86
03/17/21, 91.86, 92.00, 91.37, 91.44
03/16/21, 91.83, 92.03, 91.68, 91.86
03/15/21, 91.68, 91.97, 91.54, 91.83
03/12/21, 91.43, 91.96, 91.40, 91.68
03/11/21, 91.79, 91.88, 91.36, 91.42
03/10/21, 92.05, 92.24, 91.77, 91.82
03/09/21, 92.46, 92.50, 91.91, 91.96
03/08/21, 91.94, 92.42, 91.84, 92.31
03/05/21, 91.66, 92.19, 91.62, 91.98
03/04/21, 91.01, 91.67, 90.97, 91.63
03/03/21, 90.79, 91.06, 90.63, 90.95
03/02/21, 91.03, 91.39, 90.72, 90.78
03/01/21, 90.93, 91.14, 90.69, 91.04
02/26/21, 90.36, 90.97, 90.13, 90.88
02/25/21, 90.07, 90.29, 89.68, 90.13
02/24/21, 90.10, 90.43, 89.98, 90.18
02/23/21, 90.02, 90.26, 89.94, 90.17
02/22/21, 90.32, 90.58, 90.00, 90.01
02/19/21, 90.57, 90.65, 90.18, 90.36
02/18/21, 90.90, 90.98, 90.54, 90.59
02/17/21, 90.71, 91.06, 90.62, 90.95
02/16/21, 90.29, 90.65, 90.12, 90.51
02/15/21, 90.42, 90.47, 90.27, 90.37
02/12/21, 90.41, 90.74, 90.38, 90.48
02/11/21, 90.46, 90.47, 90.26, 90.42
02/10/21, 90.49, 90.53, 90.25, 90.37
02/09/21, 90.91, 90.93, 90.43, 90.44
02/08/21, 91.03, 91.23, 90.90, 90.93
02/05/21, 91.49, 91.04, 91.04, 91.04
02/04/21, 91.09, 91.58, 91.08, 91.53
02/03/21, 91.05, 91.31, 90.99, 91.17
02/02/21, 91.00, 91.29, 90.80, 91.20
02/01/21, 90.53, 91.06, 90.50, 90.98
01/29/21, 90.56, 90.78, 90.36, 90.58
01/28/21, 90.73, 90.86, 90.41, 90.45
01/27/21, 90.15, 90.88, 90.15, 90.65
01/26/21, 90.39, 90.61, 90.12, 90.17
01/25/21, 90.24, 90.52, 90.08, 90.39
01/22/21, 90.05, 90.31, 90.05, 90.24
01/21/21, 90.42, 90.45, 90.05, 90.13
01/20/21, 90.41, 90.70, 90.28, 90.47
01/19/21, 90.73, 90.76, 90.40, 90.50
01/18/21, 90.76, 90.95, 90.71, 90.77
01/15/21, 90.22, 90.80, 90.22, 90.77
01/14/21, 90.28, 90.58, 90.08, 90.24
01/13/21, 90.00, 90.45, 89.92, 90.36
01/12/21, 90.52, 90.62, 90.03, 90.09
01/11/21, 90.03, 90.73, 90.03, 90.47
01/08/21, 89.83, 90.25, 89.66, 90.10
01/07/21, 89.32, 89.97, 89.32, 89.83
01/06/21, 89.48, 89.80, 89.21, 89.53
01/05/21, 89.90, 89.90, 89.43, 89.44
01/04/21, 89.93, 89.94, 89.42, 89.87
12/31/20, 89.93, 89.93, 89.93, 89.93
12/30/20, 89.98, 89.98, 89.56, 89.68
12/29/20, 90.21, 90.23, 89.85, 89.99
12/28/20, 90.22, 90.38, 89.98, 90.34
12/25/20, 90.33, 90.42, 90.22, 90.22
12/24/20, 90.28, 90.38, 90.15, 90.32
12/23/20, 90.52, 90.67, 90.16, 90.41
12/22/20, 90.09, 90.72, 90.06, 90.65
12/21/20, 90.15, 91.02, 89.92, 90.04
12/18/20, 89.83, 90.13, 89.83, 90.02
12/17/20, 90.27, 90.27, 89.73, 89.82
12/16/20, 90.49, 90.70, 90.13, 90.45
12/15/20, 90.69, 90.82, 90.42, 90.47
