Date, Open, High, Low, Close
04/08/21, 6.5425, 6.5523, 6.5423, 6.5511
04/07/21, 6.5395, 6.5461, 6.5369, 6.5425
04/06/21, 6.5669, 6.5672, 6.5395, 6.5395
04/05/21, 6.5675, 6.5678, 6.5653, 6.5669
04/02/21, 6.5654, 6.5683, 6.5597, 6.5675
04/01/21, 6.5527, 6.5775, 6.5527, 6.5654
03/31/21, 6.5720, 6.5723, 6.5460, 6.5527
03/30/21, 6.5697, 6.5752, 6.5637, 6.5720
03/29/21, 6.5415, 6.5733, 6.5414, 6.5697
03/26/21, 6.5463, 6.5464, 6.5390, 6.5415
03/25/21, 6.5246, 6.5469, 6.5246, 6.5463
03/24/21, 6.5164, 6.5266, 6.5164, 6.5246
03/23/21, 6.5078, 6.5180, 6.5063, 6.5164
03/22/21, 6.5090, 6.5125, 6.5053, 6.5078
03/19/21, 6.5063, 6.5183, 6.5019, 6.5090
03/18/21, 6.5041, 6.5108, 6.4899, 6.5063
03/17/21, 6.5059, 6.5077, 6.4991, 6.5041
03/16/21, 6.5000, 6.5067, 6.4948, 6.5059
03/15/21, 6.5085, 6.5105, 6.4970, 6.5000
03/12/21, 6.4939, 6.5086, 6.4860, 6.5085
03/11/21, 6.5059, 6.5062, 6.4839, 6.4939
03/10/21, 6.5066, 6.5173, 6.5025, 6.5059
03/09/21, 6.5261, 6.5437, 6.5045, 6.5066
03/08/21, 6.4968, 6.5311, 6.4930, 6.5261
03/05/21, 6.4700, 6.4986, 6.4700, 6.4968
03/04/21, 6.4679, 6.4720, 6.4662, 6.4700
03/03/21, 6.4705, 6.4726, 6.4568, 6.4679
03/02/21, 6.4660, 6.4753, 6.4658, 6.4706
03/01/21, 6.4752, 6.4752, 6.4597, 6.4660
02/26/21, 6.4549, 6.4790, 6.4546, 6.4752
02/25/21, 6.4566, 6.4575, 6.4463, 6.4549
02/24/21, 6.4665, 6.4665, 6.4460, 6.4566
02/23/21, 6.4648, 6.4706, 6.4573, 6.4665
02/22/21, 6.4869, 6.4869, 6.4608, 6.4648
02/19/21, 6.4882, 6.4885, 6.4864, 6.4869
02/18/21, 6.4586, 6.4894, 6.4491, 6.4882
02/17/21, 6.4581, 6.4587, 6.4579, 6.4585
02/16/21, 6.4582, 6.4584, 6.4574, 6.4581
02/15/21, 6.4582, 6.4585, 6.4580, 6.4582
02/12/21, 6.4583, 6.4586, 6.4579, 6.4582
02/11/21, 6.4582, 6.4583, 6.4579, 6.4579
02/10/21, 6.4353, 6.4586, 6.4311, 6.4582
02/09/21, 6.4487, 6.4534, 6.4327, 6.4353
02/08/21, 6.4667, 6.4667, 6.4484, 6.4487
02/05/21, 6.4718, 6.4813, 6.4617, 6.4667
02/04/21, 6.4603, 6.4719, 6.4577, 6.4718
02/03/21, 6.4576, 6.4629, 6.4560, 6.4601
02/02/21, 6.4681, 6.4699, 6.4490, 6.4576
02/01/21, 6.4277, 6.4696, 6.4277, 6.4681
01/29/21, 6.4495, 6.4669, 6.4238, 6.4277
01/28/21, 6.4836, 6.4934, 6.4492, 6.4495
01/27/21, 6.4652, 6.4866, 6.4588, 6.4836
01/26/21, 6.4798, 6.4798, 6.4637, 6.4652
01/25/21, 6.4819, 6.4863, 6.4736, 6.4798
01/22/21, 6.4621, 6.4852, 6.4614, 6.4819
01/21/21, 6.4665, 6.4666, 6.4581, 6.4621
01/20/21, 6.4790, 6.4791, 6.4633, 6.4665
01/19/21, 6.4925, 6.4927, 6.4780, 6.4790
01/18/21, 6.4808, 6.4973, 6.4782, 6.4925
01/15/21, 6.4746, 6.4814, 6.4650, 6.4808
01/14/21, 6.4681, 6.4760, 6.4624, 6.4746
01/13/21, 6.4640, 6.4716, 6.4523, 6.4681
01/12/21, 6.4808, 6.4810, 6.4585, 6.4640
01/11/21, 6.4754, 6.4923, 6.4711, 6.4808
01/08/21, 6.4782, 6.4784, 6.4622, 6.4754
01/07/21, 6.4618, 6.4791, 6.4555, 6.4782
01/06/21, 6.4563, 6.4636, 6.4515, 6.4618
01/05/21, 6.4616, 6.4672, 6.4303, 6.4563
01/04/21, 6.5330, 6.5330, 6.4587, 6.4616
01/01/21, 6.5327, 6.5330, 6.5325, 6.5330
12/31/20, 6.5233, 6.5531, 6.5153, 6.5327
12/30/20, 6.5309, 6.5368, 6.5220, 6.5233
12/29/20, 6.5371, 6.5376, 6.5276, 6.5309
12/28/20, 6.5418, 6.5432, 6.5284, 6.5371
12/25/20, 6.5301, 6.5443, 6.5199, 6.5418
12/24/20, 6.5407, 6.5408, 6.5277, 6.5301
12/23/20, 6.5433, 6.5551, 6.5329, 6.5407
12/22/20, 6.5497, 6.5537, 6.5406, 6.5433
12/21/20, 6.5370, 6.5554, 6.5370, 6.5497
12/18/20, 6.5332, 6.5450, 6.5327, 6.5370
12/17/20, 6.5328, 6.5409, 6.5293, 6.5332
12/16/20, 6.5394, 6.5459, 6.5246, 6.5328
12/15/20, 6.5508, 6.5560, 6.5388, 6.5394
12/14/20, 6.5467, 6.5515, 6.5358, 6.5508
12/11/20, 6.5455, 6.5483, 6.5359, 6.5467
12/10/20, 6.5433, 6.5528, 6.5406, 6.5455
12/09/20, 6.5332, 6.5457, 6.5208, 6.5433
12/08/20, 6.5298, 6.5391, 6.5210, 6.5332
12/07/20, 6.5316, 6.5434, 6.5295, 6.5298
12/04/20, 6.5429, 6.5522, 6.5273, 6.5316
12/03/20, 6.5634, 6.5642, 6.5427, 6.5429
12/02/20, 6.5723, 6.5723, 6.5527, 6.5634
12/01/20, 6.5789, 6.5867, 6.5613, 6.5723
11/30/20, 6.5770, 6.5945, 6.5733, 6.5789
11/27/20, 6.5756, 6.5839, 6.5720, 6.5770
11/26/20, 6.5790, 6.5792, 6.5627, 6.5756
11/25/20, 6.5919, 6.5920, 6.5731, 6.5790
